time[s],Angle - sensor1.phi [rad],Angle - sensor2.phi [rad]
3.197,1.60392106543261,1.6236223420454
3.198,1.60390775200086,1.62360259069884
3.199,1.60389444622573,1.62358285479887
3.2,1.60388114774586,1.62356313129053
3.201,1.60386785512473,1.62354340687531
3.202,1.60385456892278,1.62352368718343
3.203,1.60384129042941,1.62350398476004
3.204,1.60382801902613,1.62348429401438
3.205,1.60381475368548,1.62346460543556
3.206,1.60380149513556,1.62344492616291
3.207,1.60378824425575,1.6234252647645
3.208,1.60377500031478,1.62340561448765
3.209,1.60376176264753,1.62338596917599
3.21,1.60374853202436,1.6233663362929
3.211,1.60373530897378,1.62334672099585
3.212,1.60372209275636,1.62332711637489
3.213,1.60370888300556,1.62330751903726
3.214,1.60369568044803,1.62328793596443
3.215,1.60368248533262,1.62326836959118
3.216,1.60366929698092,1.62324881352342
3.217,1.60365611525598,1.62322926649246
3.218,1.60364294078854,1.62320973451624
3.219,1.60362977362014,1.62319021800889
3.22,1.60361661317329,1.62317071148839
3.221,1.60360345947447,1.62315121519781
3.222,1.6035903130333,1.62313173396675
3.223,1.6035771737503,1.62311226683464
3.224,1.60356404116614,1.62309280941124
3.225,1.60355091541249,1.6230733629131
3.226,1.60353779687243,1.62305393094473
3.227,1.60352468536186,1.62303451172099
3.228,1.60351158054039,1.62301510196515
3.229,1.60349848259714,1.62299570342647
3.23,1.60348539179668,1.62297631857332
3.231,1.60347230791503,1.62295694523336
3.232,1.60345923072073,1.62293758115934
3.233,1.60344616042374,1.62291822829619
3.234,1.60343309718619,1.62289888813857
3.235,1.60342004077732,1.62287955845087
3.236,1.60340699105832,1.62286023786904
3.237,1.60339394823403,1.62284092829477
3.238,1.60338091238395,1.62282163044438
3.239,1.60336788329309,1.62280234223927
3.24,1.60335486089626,1.62278306302396
3.241,1.60334184537656,1.62276379450362
3.242,1.60332883675134,1.62274453681523
3.243,1.60331583483488,1.62272528816936
3.244,1.60330283961658,1.62270604844103
3.245,1.60328985124868,1.62268681905533
3.246,1.60327686970549,1.62266759975316
3.247,1.60326389483695,1.6226483890964
3.248,1.60325092666956,1.62262918732573
3.249,1.60323796532144,1.62260999555567
3.25,1.6032250107403,1.62259081328743
3.251,1.60321206281283,1.6225716394444
3.252,1.60319912158778,1.62255247449122
3.253,1.60318618714996,1.62253331923888
3.254,1.60317325943375,1.6225141730735
3.255,1.60316033836006,1.62249503525487
3.256,1.60314742398804,1.62247590635747
3.257,1.60313451637267,1.62245678691985
3.258,1.60312161544495,1.62243767630566
3.259,1.60310872115533,1.62241857406459
3.26,1.60309583356454,1.62239948079518
3.261,1.60308295270265,1.6223803968077
3.262,1.60307007850416,1.62236132150657
3.263,1.60305721094336,1.62234225467482
3.264,1.60304435007654,1.62232319687549
3.265,1.60303149591428,1.62230414823958
3.266,1.60301864839884,1.62228510825047
3.267,1.60300580752246,1.62226607686623
3.268,1.60299297333336,1.62224705457752
3.269,1.60298014582788,1.62222804138394
3.27,1.60296732495825,1.62220903686621
3.271,1.60295451072912,1.62219004110311
3.272,1.6029417031789,1.62217105449429
3.273,1.60292890229446,1.62215207695104
3.274,1.60291610803852,1.62213310815499
